film_id,"title","release_date",release_week,"runtime",budget,revenue,profit,animation,adventure,action,comedy,crime,drama,fantasy,family,history,horror,music,mystery,romance,science fiction,thriller,war,western,"genres",hit,num_bankable_actor
10996,"Stuart Little 2","2002-07-19",28,"78.0",120000000,169956806,-35021597.0000,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"[{'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}]",0,0
10998,"Fatal Attraction","1987-09-11",36,"119.",14000000,320145693,146072846.5000,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",1,0
10999,"Commando","1985-10-03",39,"90.0",10000000,57500000,18750000.0000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",0,1
11000,"The Birdcage","1996-03-08",9,"117.",31000000,185260553,61630276.5000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'id': 35, 'name': 'Comedy'}]",1,1
11001,"Blue Streak","1999-09-17",37,"93.0",65000000,117758500,-6120750.0000,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",0,0
11003,"The Wedding Singer","1998-02-13",6,"95.0",18000000,123306987,43653493.5000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",1,1
11007,"Cheaper by the Dozen","2003-12-24",51,"98.0",40000000,190212113,55106056.5000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[{'id': 35, 'name': 'Comedy'}]",1,0
11009,"Saturday Night Fever","1977-12-16",50,"118.",3500000,237113184,115056592.0000,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",1,1
11013,"Secretary","2002-01-11",1,"104.",4000000,9304609,652304.5000,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",0,0
11015,"The Relic","1997-01-10",1,"110.",60000000,33956608,-43021696.0000,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",0,0
